ID,Year,Mnth,Day,Flow0,SYM
13340000,1980,11,28,2760.0,A
13340000,1980,11,29,3080.0,A
13340000,1980,11,30,3000.0,A
13340000,1980,12,1,2920.0,A
13340000,1980,12,2,2660.0,A
13340000,1980,12,3,2940.0,A
13340000,1980,12,4,4220.0,A
13340000,1980,12,5,4370.0,A
13340000,1980,12,6,3740.0,A
13340000,1980,12,7,3470.0,A
13340000,1980,12,8,2940.0,A
13340000,1980,12,9,2110.0,A
13340000,1980,12,10,2040.0,A
13340000,1980,12,11,2880.0,A
13340000,1980,12,12,3240.0,A
13340000,1980,12,13,2980.0,A
13340000,1980,12,14,2740.0,A
13340000,1980,12,15,2560.0,A
13340000,1980,12,16,2880.0,A
13340000,1980,12,17,2980.0,A
13340000,1980,12,18,2900.0,A
13340000,1980,12,19,2760.0,A
13340000,1980,12,20,2560.0,A
13340000,1980,12,21,2780.0,A
13340000,1980,12,22,4600.0,A
13340000,1980,12,23,8090.0,A
13340000,1980,12,24,7000.0,A
13340000,1980,12,25,9080.0,A
13340000,1980,12,26,25100.0,A
13340000,1980,12,27,31500.0,A
13340000,1980,12,28,26300.0,A
13340000,1980,12,29,19500.0,A
13340000,1980,12,30,16600.0,A
13340000,1980,12,31,18000.0,A
13340000,1981,1,1,15600.0,A
13340000,1981,1,2,13800.0,A
13340000,1981,1,3,12300.0,A
13340000,1981,1,4,11100.0,A
13340000,1981,1,5,10100.0,A
13340000,1981,1,6,9300.0,A
13340000,1981,1,7,8500.0,A
13340000,1981,1,8,7930.0,A
13340000,1981,1,9,7390.0,A
13340000,1981,1,10,7090.0,A
13340000,1981,1,11,6350.0,A
13340000,1981,1,12,5910.0,A
13340000,1981,1,13,5950.0,A
13340000,1981,1,14,5700.0,A
13340000,1981,1,15,5260.0,A
13340000,1981,1,16,4820.0,A
13340000,1981,1,17,4730.0,A
13340000,1981,1,18,4920.0,A
13340000,1981,1,19,4930.0,A
13340000,1981,1,20,4770.0,A
13340000,1981,1,21,4640.0,A
13340000,1981,1,22,4580.0,A
13340000,1981,1,23,4720.0,A
13340000,1981,1,24,7310.0,A
13340000,1981,1,25,6840.0,A
13340000,1981,1,26,5660.0,A
13340000,1981,1,27,5200.0,A
13340000,1981,1,28,5140.0,A
13340000,1981,1,29,5190.0,A
13340000,1981,1,30,4920.0,A
13340000,1981,1,31,4690.0,A
13340000,1981,2,1,4560.0,A
13340000,1981,2,2,4270.0,A
13340000,1981,2,3,3690.0,A
13340000,1981,2,4,3520.0,A
13340000,1981,2,5,3560.0,A
13340000,1981,2,6,3630.0,A
13340000,1981,2,7,3770.0,A
13340000,1981,2,8,3860.0,A
13340000,1981,2,9,3780.0,A
13340000,1981,2,10,3120.0,A
13340000,1981,2,11,2090.0,A
13340000,1981,2,12,2500.0,A
13340000,1981,2,13,4350.0,A
13340000,1981,2,14,5340.0,A
13340000,1981,2,15,7810.0,A
13340000,1981,2,16,11100.0,A
13340000,1981,2,17,16400.0,A
13340000,1981,2,18,15300.0,A
13340000,1981,2,19,14900.0,A
13340000,1981,2,20,15600.0,A
13340000,1981,2,21,13300.0,A
13340000,1981,2,22,11300.0,A
13340000,1981,2,23,10100.0,A
13340000,1981,2,24,9500.0,A
13340000,1981,2,25,9310.0,A
13340000,1981,2,26,8800.0,A
13340000,1981,2,27,8320.0,A
13340000,1981,2,28,7860.0,A
13340000,1981,3,1,7450.0,A
13340000,1981,3,2,7160.0,A
13340000,1981,3,3,6930.0,A
13340000,1981,3,4,6730.0,A
13340000,1981,3,5,6590.0,A
13340000,1981,3,6,6340.0,A
13340000,1981,3,7,6010.0,A
13340000,1981,3,8,5800.0,A
13340000,1981,3,9,5670.0,A
13340000,1981,3,10,5540.0,A
13340000,1981,3,11,5430.0,A
13340000,1981,3,12,5480.0,A
13340000,1981,3,13,5560.0,A
13340000,1981,3,14,5670.0,A
13340000,1981,3,15,5770.0,A
13340000,1981,3,16,6150.0,A
13340000,1981,3,17,6990.0,A
13340000,1981,3,18,6310.0,A
13340000,1981,3,19,6010.0,A
13340000,1981,3,20,5960.0,A
13340000,1981,3,21,5960.0,A
13340000,1981,3,22,5910.0,A
13340000,1981,3,23,6560.0,A
13340000,1981,3,24,6290.0,A
13340000,1981,3,25,6120.0,A
13340000,1981,3,26,7020.0,A
13340000,1981,3,27,7770.0,A
13340000,1981,3,28,7570.0,A
13340000,1981,3,29,7600.0,A
13340000,1981,3,30,8630.0,A
13340000,1981,3,31,7980.0,A
13340000,1981,4,1,8900.0,A
13340000,1981,4,2,9180.0,A
13340000,1981,4,3,8630.0,A
13340000,1981,4,4,8190.0,A
13340000,1981,4,5,7600.0,A
13340000,1981,4,6,7770.0,A
13340000,1981,4,7,7510.0,A
13340000,1981,4,8,7220.0,A
13340000,1981,4,9,7240.0,A
13340000,1981,4,10,7240.0,A
13340000,1981,4,11,6950.0,A
13340000,1981,4,12,7260.0,A
13340000,1981,4,13,7210.0,A
13340000,1981,4,14,6760.0,A
13340000,1981,4,15,6850.0,A
13340000,1981,4,16,7790.0,A
13340000,1981,4,17,8730.0,A
13340000,1981,4,18,9290.0,A
13340000,1981,4,19,10700.0,A
13340000,1981,4,20,13100.0,A
13340000,1981,4,21,14400.0,A
13340000,1981,4,22,13800.0,A
13340000,1981,4,23,14600.0,A
13340000,1981,4,24,21000.0,A
13340000,1981,4,25,23700.0,A
13340000,1981,4,26,21000.0,A
13340000,1981,4,27,20400.0,A
13340000,1981,4,28,19800.0,A
13340000,1981,4,29,23500.0,A
13340000,1981,4,30,26800.0,A
13340000,1981,5,1,30800.0,A
13340000,1981,5,2,35300.0,A
13340000,1981,5,3,29000.0,A
13340000,1981,5,4,24400.0,A
13340000,1981,5,5,21100.0,A
13340000,1981,5,6,18700.0,A
13340000,1981,5,7,16800.0,A
13340000,1981,5,8,15400.0,A
13340000,1981,5,9,14200.0,A
13340000,1981,5,10,13700.0,A
13340000,1981,5,11,14100.0,A
13340000,1981,5,12,14400.0,A
13340000,1981,5,13,12800.0,A
13340000,1981,5,14,12500.0,A
13340000,1981,5,15,14400.0,A
13340000,1981,5,16,15600.0,A
13340000,1981,5,17,14300.0,A
13340000,1981,5,18,14200.0,A
13340000,1981,5,19,14900.0,A
13340000,1981,5,20,17200.0,A
13340000,1981,5,21,25100.0,A
13340000,1981,5,22,41900.0,A
13340000,1981,5,23,33600.0,A
13340000,1981,5,24,32800.0,A
13340000,1981,5,25,33400.0,A
13340000,1981,5,26,36200.0,A
13340000,1981,5,27,32600.0,A
13340000,1981,5,28,30000.0,A
13340000,1981,5,29,28600.0,A
13340000,1981,5,30,28800.0,A
13340000,1981,5,31,30600.0,A
13340000,1981,6,1,28000.0,A
13340000,1981,6,2,24300.0,A
13340000,1981,6,3,24200.0,A
13340000,1981,6,4,23000.0,A
13340000,1981,6,5,23500.0,A
13340000,1981,6,6,29500.0,A
13340000,1981,6,7,32100.0,A
13340000,1981,6,8,35900.0,A
13340000,1981,6,9,44800.0,A
13340000,1981,6,10,40400.0,A
13340000,1981,6,11,34700.0,A
13340000,1981,6,12,33400.0,A
13340000,1981,6,13,36500.0,A
13340000,1981,6,14,33300.0,A
13340000,1981,6,15,31000.0,A
13340000,1981,6,16,30400.0,A
13340000,1981,6,17,39500.0,A
13340000,1981,6,18,33300.0,A
13340000,1981,6,19,38800.0,A
13340000,1981,6,20,44900.0,A
13340000,1981,6,21,39300.0,A
13340000,1981,6,22,33600.0,A
13340000,1981,6,23,30900.0,A
