LOCAL_DATE,DIRECTION_MAX_GUST,SPEED_MAX_GUST,SNOW_ON_GROUND,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Value,SYM,Year,Month,Day
1994-05-24,0.0,0.0,,0.0,5.0,0.0,,,22.6,13.0,3.4,1.0,146.0,,1994.0,5.0,24.0
1994-05-25,26.0,43.0,,0.0,5.3,0.0,,,22.9,12.7,2.5,1.0,188.0,,1994.0,5.0,25.0
1994-05-26,18.0,32.0,,0.0,5.8,0.0,,,21.4,12.2,2.9,1.0,224.0,,1994.0,5.0,26.0
1994-05-27,24.0,33.0,,6.1,10.2,0.0,,,13.4,7.8,2.2,1.0,245.0,,1994.0,5.0,27.0
1994-05-28,18.0,37.0,,0.0,11.3,0.0,,,15.1,6.7,-1.7,1.0,199.0,,1994.0,5.0,28.0
1994-05-29,15.0,33.0,,0.0,9.6,0.0,,,14.1,8.4,2.6,1.0,155.0,,1994.0,5.0,29.0
1994-05-30,0.0,0.0,,0.0,8.3,0.0,,,15.8,9.7,3.5,1.0,129.0,,1994.0,5.0,30.0
1994-05-31,0.0,0.0,,0.0,7.2,0.0,,,24.8,10.8,-3.2,1.0,114.0,,1994.0,5.0,31.0
1994-06-01,24.0,32.0,,0.0,5.2,0.0,,,17.0,12.8,8.6,1.0,123.0,,1994.0,6.0,1.0
1994-06-02,0.0,0.0,,0.0,8.7,0.0,,,20.9,9.3,-2.3,1.0,132.0,,1994.0,6.0,2.0
1994-06-03,23.0,35.0,,0.0,4.7,0.0,,,23.6,13.3,2.9,1.0,150.0,,1994.0,6.0,3.0
1994-06-04,34.0,41.0,,6.0,7.2,0.0,,,22.2,10.8,-0.7,1.0,180.0,,1994.0,6.0,4.0
1994-06-05,0.0,0.0,,3.6,3.9,0.0,,,20.7,14.1,7.4,1.0,226.0,,1994.0,6.0,5.0
1994-06-06,0.0,0.0,,0.6,6.0,0.0,,,18.5,12.0,5.5,1.0,251.0,,1994.0,6.0,6.0
1994-06-07,0.0,0.0,,7.2,6.8,0.0,,,15.1,11.2,7.2,1.0,272.0,,1994.0,6.0,7.0
1994-06-08,0.0,0.0,,16.8,10.9,0.0,,,9.8,7.1,4.4,1.0,263.0,,1994.0,6.0,8.0
1994-06-09,31.0,44.0,,0.4,6.6,0.0,,,17.2,11.4,5.5,1.0,218.0,,1994.0,6.0,9.0
1994-06-10,0.0,0.0,,0.0,5.7,0.0,,,20.0,12.3,4.5,1.0,184.0,,1994.0,6.0,10.0
1994-06-11,0.0,0.0,,0.0,6.7,0.0,,,17.1,11.3,5.4,1.0,183.0,,1994.0,6.0,11.0
1994-06-12,20.0,32.0,,0.4,4.9,0.0,,,20.6,13.1,5.5,1.0,187.0,,1994.0,6.0,12.0
1994-06-13,25.0,41.0,,3.4,7.1,0.0,,,16.9,10.9,4.9,1.0,220.0,,1994.0,6.0,13.0
1994-06-14,0.0,0.0,,7.4,12.7,0.0,,,6.7,5.3,3.8,1.0,240.0,,1994.0,6.0,14.0
1994-06-15,0.0,0.0,,0.4,10.3,0.0,,,11.8,7.7,3.5,1.0,193.0,,1994.0,6.0,15.0
1994-06-16,0.0,0.0,,0.0,11.4,0.0,,,15.6,6.6,-2.4,1.0,155.0,,1994.0,6.0,16.0
1994-06-17,0.0,0.0,,0.0,7.4,0.0,,,18.7,10.6,2.5,1.0,136.0,,1994.0,6.0,17.0
1994-06-18,34.0,41.0,,0.8,6.8,0.0,,,22.0,11.2,0.4,1.0,136.0,,1994.0,6.0,18.0
1994-06-19,0.0,0.0,,30.3,7.3,0.0,,,17.0,10.7,4.3,1.0,159.0,,1994.0,6.0,19.0
1994-06-20,21.0,33.0,,0.0,7.4,0.0,,,20.7,10.6,0.4,1.0,160.0,,1994.0,6.0,20.0
1994-06-21,,,,0.0,5.300000000000001,0.0,,,23.95,12.7,1.4,1.0,166.0,,1994.0,6.0,21.0
1994-06-22,22.0,32.0,,0.0,3.2,0.0,,,27.2,14.8,2.4,1.0,210.0,,1994.0,6.0,22.0
1994-06-23,0.0,0.0,,0.0,2.2,0.0,,,27.5,15.8,4.1,1.0,274.0,,1994.0,6.0,23.0
1994-06-24,22.0,32.0,,5.2,4.6,0.0,,,21.5,13.4,5.2,1.0,317.0,,1994.0,6.0,24.0
1994-06-25,0.0,0.0,,0.0,1.4,0.0,,,23.5,16.6,9.6,1.0,299.0,,1994.0,6.0,25.0
1994-06-26,22.0,39.0,,0.0,5.1,0.0,,,21.7,12.9,4.0,1.0,307.0,,1994.0,6.0,26.0
1994-06-27,22.0,39.0,,0.0,3.8,0.0,,,23.3,14.2,5.0,1.0,285.0,,1994.0,6.0,27.0
1994-06-28,36.0,33.0,,2.4,2.5,0.0,,,21.3,15.5,9.7,1.0,289.0,,1994.0,6.0,28.0
1994-06-29,27.0,32.0,,5.4,4.5,0.0,,,18.4,13.5,8.6,1.0,333.0,,1994.0,6.0,29.0
1994-06-30,,,,4.628571428571429,4.371428571428572,0.0,,,18.728571428571428,13.628571428571428,5.8,1.0,322.0,,1994.0,6.0,30.0
1994-07-01,,,,3.8571428571428577,4.242857142857143,0.0,,,19.057142857142857,13.757142857142858,6.166666666666666,1.0,286.0,,1994.0,7.0,1.0
1994-07-02,,,,3.085714285714286,4.114285714285714,0.0,,,19.385714285714286,13.885714285714286,6.533333333333333,1.0,330.0,,1994.0,7.0,2.0
1994-07-03,,,,2.3142857142857145,3.9857142857142858,0.0,,,19.71428571428571,14.014285714285714,6.9,1.0,266.0,,1994.0,7.0,3.0
1994-07-04,,,,1.5428571428571431,3.857142857142857,0.0,,,20.04285714285714,14.142857142857142,7.266666666666667,1.0,226.0,,1994.0,7.0,4.0
1994-07-05,,,,0.7714285714285714,3.7285714285714286,0.0,,,20.37142857142857,14.271428571428572,7.633333333333333,1.0,198.0,,1994.0,7.0,5.0
1994-07-06,29.0,32.0,,0.0,3.6,0.0,,,20.7,14.4,8.0,1.0,193.0,,1994.0,7.0,6.0
1994-07-07,,,,0.1,2.3,0.0,,,22.9,15.7,8.1,1.0,194.0,,1994.0,7.0,7.0
1994-07-08,0.0,0.0,,0.2,1.0,0.0,,,25.1,17.0,8.8,1.0,238.0,,1994.0,7.0,8.0
1994-07-09,0.0,0.0,,0.0,2.0,0.0,,,22.6,16.0,9.3,1.0,266.0,,1994.0,7.0,9.0
1994-07-10,0.0,0.0,,0.0,4.0,0.0,,,22.7,14.0,5.3,1.0,243.0,,1994.0,7.0,10.0
1994-07-11,23.0,39.0,,1.8,4.0,0.0,,,18.2,14.0,9.7,1.0,214.0,,1994.0,7.0,11.0
1994-07-12,0.0,0.0,,0.0,5.2,0.0,,,20.9,12.8,4.6,1.0,197.0,,1994.0,7.0,12.0
1994-07-13,36.0,32.0,,0.0,3.5,0.0,,,24.8,14.5,4.1,1.0,188.0,,1994.0,7.0,13.0
1994-07-14,35.0,39.0,,0.0,4.4,0.0,,,23.6,13.6,3.5,1.0,199.0,,1994.0,7.0,14.0
1994-07-15,,,,0.0,1.0,0.0,,,25.0,17.0,8.9,1.0,215.0,,1994.0,7.0,15.0
1994-07-16,,,,0.26666666666666666,1.1666666666666667,0.0,,,23.633333333333333,16.833333333333332,9.933333333333334,1.0,231.0,,1994.0,7.0,16.0
1994-07-17,,,,0.5333333333333333,1.3333333333333333,0.0,,,22.266666666666666,16.666666666666668,10.966666666666667,1.0,253.0,,1994.0,7.0,17.0
1994-07-18,23.0,41.0,,0.8,1.5,0.0,,,20.9,16.5,12.0,1.0,283.0,,1994.0,7.0,18.0
1994-07-19,21.0,32.0,,0.0,0.0,1.1,,,25.6,19.1,12.6,1.0,276.0,,1994.0,7.0,19.0
1994-07-20,,,,0.0,0.0,1.55,,,28.55,19.55,10.5,1.0,263.0,,1994.0,7.0,20.0
1994-07-21,36.0,37.0,,0.0,0.0,2.0,,,31.5,20.0,8.4,1.0,275.0,,1994.0,7.0,21.0
1994-07-22,35.0,32.0,,0.0,0.0,4.0,,,30.6,22.0,13.4,1.0,311.0,,1994.0,7.0,22.0
1994-07-23,,,,0.0,0.0,3.45,,,31.900000000000002,21.45,11.0,1.0,298.0,,1994.0,7.0,23.0
1994-07-24,1.0,37.0,,0.0,0.0,2.9,,,33.2,20.9,8.6,1.0,288.0,,1994.0,7.0,24.0
1994-07-25,10.0,37.0,,2.8,0.0,2.7,,,32.4,20.7,9.0,1.0,294.0,,1994.0,7.0,25.0
1994-07-26,27.0,37.0,,2.4,0.0,1.7,,,28.8,19.7,10.5,1.0,328.0,,1994.0,7.0,26.0
1994-07-27,0.0,0.0,,0.0,0.0,0.1,,,30.4,18.1,5.7,1.0,327.0,,1994.0,7.0,27.0
1994-07-28,1.0,33.0,,0.0,0.0,2.2,,,31.6,20.2,8.7,1.0,295.0,,1994.0,7.0,28.0
1994-07-29,20.0,32.0,,0.0,0.0,2.3,,,32.8,20.3,7.7,1.0,276.0,,1994.0,7.0,29.0
1994-07-30,22.0,35.0,,0.0,0.0,0.7,,,31.7,18.7,5.7,1.0,274.0,,1994.0,7.0,30.0
1994-07-31,21.0,33.0,,0.0,0.0,0.5,,,29.3,18.5,7.6,1.0,269.0,,1994.0,7.0,31.0
1994-08-01,34.0,35.0,,0.0,0.0,1.1,,,31.2,19.1,6.9,1.0,246.0,,1994.0,8.0,1.0
1994-08-02,35.0,35.0,,0.0,0.0,1.8,,,32.7,19.8,6.8,1.0,243.0,,1994.0,8.0,2.0
1994-08-03,14.0,41.0,,1.4,0.0,3.6,,,30.9,21.6,12.3,1.0,245.0,,1994.0,8.0,3.0
1994-08-04,,,,1.0666666666666667,1.2333333333333334,2.4000000000000004,,,27.666666666666664,19.166666666666668,10.666666666666668,1.0,281.0,,1994.0,8.0,4.0
1994-08-05,,,,0.7333333333333333,2.466666666666667,1.2000000000000002,,,24.433333333333334,16.733333333333334,9.033333333333333,1.0,270.0,,1994.0,8.0,5.0
1994-08-06,2.0,35.0,,0.4,3.7,0.0,,,21.2,14.3,7.4,1.0,264.0,,1994.0,8.0,6.0
1994-08-07,33.0,46.0,,0.6,3.5,0.0,,,19.1,14.5,9.8,1.0,227.0,,1994.0,8.0,7.0
1994-08-08,1.0,44.0,,4.6,6.7,0.0,,,14.6,11.3,7.9,1.0,212.0,,1994.0,8.0,8.0
1994-08-09,0.0,0.0,,0.6,7.5,0.0,,,15.8,10.5,5.2,1.0,216.0,,1994.0,8.0,9.0
1994-08-10,0.0,0.0,,0.0,5.0,0.0,,,22.5,13.0,3.5,1.0,189.0,,1994.0,8.0,10.0
1994-08-11,0.0,0.0,,0.0,2.0,0.0,,,25.9,16.0,6.1,1.0,170.0,,1994.0,8.0,11.0
1994-08-12,35.0,32.0,,0.0,3.2,0.0,,,27.0,14.8,2.6,1.0,174.0,,1994.0,8.0,12.0
1994-08-13,0.0,0.0,,0.0,0.0,0.3,,,31.4,18.3,5.1,1.0,177.0,,1994.0,8.0,13.0
1994-08-14,,,,1.8,1.05,0.15,,,27.2,17.1,6.95,1.0,190.0,,1994.0,8.0,14.0
1994-08-15,32.0,43.0,,3.6,2.1,0.0,,,23.0,15.9,8.8,1.0,203.0,,1994.0,8.0,15.0
1994-08-16,35.0,39.0,,3.4,3.5,0.0,,,21.4,14.5,7.6,1.0,198.0,,1994.0,8.0,16.0
1994-08-17,0.0,0.0,,37.2,6.7,0.0,,,13.2,11.3,9.3,1.0,212.0,,1994.0,8.0,17.0
1994-08-18,0.0,0.0,,0.0,2.1,0.0,,,24.4,15.9,7.4,1.0,190.0,,1994.0,8.0,18.0
1994-08-19,0.0,0.0,,0.0,1.5,0.0,,,29.1,16.5,3.8,1.0,179.0,,1994.0,8.0,19.0
1994-08-20,0.0,0.0,,0.0,0.9,0.0,,,28.5,17.1,5.6,1.0,183.0,,1994.0,8.0,20.0
1994-08-21,20.0,46.0,,0.0,5.9,0.0,,,20.8,12.1,3.4,1.0,187.0,,1994.0,8.0,21.0
1994-08-22,28.0,39.0,,0.6,5.6,0.0,,,17.7,12.4,7.1,1.0,167.0,,1994.0,8.0,22.0
1994-08-23,0.0,0.0,,3.6,6.8,0.0,,,16.3,11.2,6.0,1.0,187.0,,1994.0,8.0,23.0
1994-08-24,0.0,0.0,,0.0,8.9,0.0,,,17.5,9.1,0.6,1.0,150.0,,1994.0,8.0,24.0
1994-08-25,34.0,35.0,,0.0,8.0,0.0,,,18.1,10.0,1.8,1.0,125.0,,1994.0,8.0,25.0
1994-08-26,34.0,35.0,,0.0,7.1,0.0,,,17.7,10.9,4.0,1.0,118.0,,1994.0,8.0,26.0
1994-08-27,0.0,0.0,,0.0,7.4,0.0,,,22.7,10.6,-1.5,1.0,106.0,,1994.0,8.0,27.0
1994-08-28,0.0,0.0,,0.0,5.2,0.0,,,24.7,12.8,0.8,1.0,103.0,,1994.0,8.0,28.0
1994-08-29,0.0,0.0,,0.2,7.8,0.0,,,17.3,10.2,3.0,1.0,106.0,,1994.0,8.0,29.0
1994-08-30,2.0,41.0,,0.0,6.4,0.0,,,17.6,11.6,5.5,1.0,105.0,,1994.0,8.0,30.0
1994-08-31,35.0,33.0,,0.0,6.9,0.0,,,20.8,11.1,1.3,1.0,107.0,,1994.0,8.0,31.0
1994-09-01,0.0,0.0,,0.0,7.2,0.0,,,21.0,10.8,0.6,1.0,114.0,,1994.0,9.0,1.0
1994-09-02,0.0,0.0,,0.0,5.1,0.0,,,21.2,12.9,4.5,1.0,112.0,,1994.0,9.0,2.0
1994-09-03,0.0,0.0,,0.4,8.3,0.0,,,14.5,9.7,4.8,1.0,112.0,,1994.0,9.0,3.0
1994-09-04,23.0,35.0,,0.0,4.9,0.0,,,18.6,13.1,7.5,1.0,105.0,,1994.0,9.0,4.0
1994-09-05,0.0,0.0,,0.0,6.1,0.0,,,21.5,11.9,2.3,1.0,96.5,,1994.0,9.0,5.0
1994-09-06,17.0,35.0,,0.0,4.6,0.0,,,25.2,13.4,1.5,1.0,93.9,,1994.0,9.0,6.0
1994-09-07,0.0,0.0,,0.0,4.4,0.0,,,23.9,13.6,3.3,1.0,102.0,,1994.0,9.0,7.0
1994-09-08,22.0,44.0,,2.0,6.0,0.0,,,20.3,12.0,3.7,1.0,108.0,,1994.0,9.0,8.0
1994-09-09,0.0,0.0,,0.0,8.3,0.0,,,15.9,9.7,3.4,1.0,126.0,,1994.0,9.0,9.0
1994-09-10,0.0,0.0,,0.4,8.2,0.0,,,16.9,9.8,2.7,1.0,105.0,,1994.0,9.0,10.0
1994-09-11,0.0,0.0,,2.6,12.0,0.0,,,13.3,6.0,-1.3,1.0,88.3,,1994.0,9.0,11.0
1994-09-12,0.0,0.0,,0.0,9.3,0.0,,,15.3,8.7,2.0,1.0,78.6,,1994.0,9.0,12.0
1994-09-13,0.0,0.0,,0.0,5.1,0.0,,,20.6,12.9,5.1,1.0,71.1,,1994.0,9.0,13.0
1994-09-14,0.0,0.0,,1.0,5.2,0.0,,,18.5,12.8,7.1,1.0,77.1,,1994.0,9.0,14.0
1994-09-15,0.0,0.0,,0.0,4.1,0.0,,,20.8,13.9,7.0,1.0,91.3,,1994.0,9.0,15.0
1994-09-16,0.0,0.0,,0.0,2.5,0.0,,,25.4,15.5,5.6,1.0,89.6,,1994.0,9.0,16.0
1994-09-17,0.0,0.0,,0.0,2.7,0.0,,,27.5,15.3,3.0,1.0,96.5,,1994.0,9.0,17.0
1994-09-18,0.0,0.0,,0.0,3.9,0.0,,,25.3,14.1,2.9,1.0,102.0,,1994.0,9.0,18.0
1994-09-19,1.0,39.0,,0.0,5.1,0.0,,,25.0,12.9,0.7,1.0,103.0,,1994.0,9.0,19.0
1994-09-20,34.0,39.0,,0.0,9.3,0.0,,,16.6,8.7,0.7,1.0,101.0,,1994.0,9.0,20.0
1994-09-21,0.0,0.0,,0.0,8.8,0.0,,,21.7,9.2,-3.3,1.0,93.2,,1994.0,9.0,21.0
1994-09-22,18.0,35.0,,0.0,4.2,0.0,,,26.5,13.8,1.1,1.0,85.5,,1994.0,9.0,22.0
1994-09-23,0.0,0.0,,0.0,4.6,0.0,,,22.9,13.4,3.8,1.0,95.0,,1994.0,9.0,23.0
1994-09-24,0.0,0.0,,0.0,1.6,0.0,,,26.8,16.4,6.0,1.0,93.2,,1994.0,9.0,24.0
1994-09-25,23.0,35.0,,0.0,4.9,0.0,,,24.7,13.1,1.4,1.0,100.0,,1994.0,9.0,25.0
1994-09-26,0.0,0.0,,0.0,6.6,0.0,,,20.0,11.4,2.8,1.0,97.6,,1994.0,9.0,26.0
1994-09-27,30.0,43.0,,0.0,1.5,0.0,,,23.3,16.5,9.7,1.0,84.8,,1994.0,9.0,27.0
1994-09-28,0.0,0.0,,1.6,6.8,0.0,,,14.5,11.2,7.9,1.0,94.9,,1994.0,9.0,28.0
1994-09-29,,,,3.5,10.45,0.0,,,10.25,7.55,4.85,1.0,97.9,,1994.0,9.0,29.0
1994-09-30,0.0,0.0,,5.4,14.1,0.0,,,6.0,3.9,1.8,1.0,122.0,,1994.0,9.0,30.0
1994-10-01,2.0,33.0,,8.6,11.6,0.0,,,10.7,6.4,2.1,1.0,161.0,,1994.0,10.0,1.0
1994-10-02,34.0,32.0,,1.0,16.5,0.0,,,4.7,1.5,-1.7,1.0,145.0,,1994.0,10.0,2.0
1994-10-03,0.0,0.0,,0.0,13.8,0.0,,,12.1,4.2,-3.8,1.0,102.0,,1994.0,10.0,3.0
1994-10-04,0.0,0.0,,0.2,9.7,0.0,,,19.2,8.3,-2.6,1.0,86.5,,1994.0,10.0,4.0
1994-10-05,23.0,32.0,,0.0,11.9,0.0,,,14.9,6.1,-2.7,1.0,80.2,,1994.0,10.0,5.0
1994-10-06,27.0,35.0,,0.2,15.1,0.0,,,9.9,2.9,-4.2,1.0,73.5,,1994.0,10.0,6.0
1994-10-07,28.0,32.0,,0.0,10.5,0.0,,,14.1,7.5,0.8,1.0,66.0,,1994.0,10.0,7.0
1994-10-08,0.0,0.0,,0.0,13.7,0.0,,,11.8,4.3,-3.3,1.0,60.0,,1994.0,10.0,8.0
1994-10-09,20.0,39.0,,0.2,7.2,0.0,,,16.9,10.8,4.7,1.0,55.9,,1994.0,10.0,9.0
1994-10-10,0.0,0.0,,4.5,14.1,0.0,,,11.2,3.9,-3.5,1.0,56.8,,1994.0,10.0,10.0
1994-10-11,0.0,0.0,,0.0,15.9,0.0,,,11.5,2.1,-7.3,1.0,54.7,,1994.0,10.0,11.0
1994-10-12,0.0,0.0,,0.2,14.7,0.0,,,13.9,3.3,-7.3,1.0,49.3,,1994.0,10.0,12.0
1994-10-13,0.0,0.0,,0.0,15.1,0.0,,,9.4,2.9,-3.7,1.0,47.1,,1994.0,10.0,13.0
1994-10-14,36.0,43.0,,0.0,17.0,0.0,,,5.0,1.0,-3.1,1.0,45.3,,1994.0,10.0,14.0
1994-10-15,0.0,0.0,,0.0,16.3,0.0,,,7.1,1.7,-3.7,1.0,43.8,,1994.0,10.0,15.0
1994-10-16,0.0,0.0,,0.2,14.1,0.0,,,13.8,3.9,-6.0,1.0,41.3,,1994.0,10.0,16.0
