x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,43,,0,,1994,4,AB,,JASPER WARDEN,,15,,M,M,1994-04-27 00:00:00,,,,9,27,,,,3,,34,,3053536,,0,,,3053536.1994.4.27,-3
-118.02972222222222,52.92638888888889,0,,0,,1994,4,AB,,JASPER WARDEN,,14.1,,M,M,1994-04-28 00:00:00,,,,15.5,28,,,,3.9,,0,,3053536,,0,,,3053536.1994.4.28,-7.7
-118.02972222222222,52.92638888888889,0,,0,,1994,4,AB,,JASPER WARDEN,,11.6,,M,M,1994-04-29 00:00:00,,,,15.9,29,,,,6.4,,0,,3053536,,0,,,3053536.1994.4.29,-3.2
-118.02972222222222,52.92638888888889,0,,0,,1994,4,AB,,JASPER WARDEN,,11.6,,M,M,1994-04-30 00:00:00,,,,15,30,,,,6.4,,0,,3053536,,0,,,3053536.1994.4.30,-2.3
-118.02972222222222,52.92638888888889,33,,4,,1994,5,AB,,JASPER WARDEN,,9.4,,M,M,1994-05-01 00:00:00,,,,13,1,,,,8.6,,36,,3053536,,0,,,3053536.1994.5.1,4.2
-118.02972222222222,52.92638888888889,0,,0.2,,1994,5,AB,,JASPER WARDEN,,10.3,,M,M,1994-05-02 00:00:00,,,,11.8,2,,,,7.7,,0,,3053536,,0,,,3053536.1994.5.2,3.5
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,10.9,,M,M,1994-05-03 00:00:00,,,,14.3,3,,,,7.1,,0,,3053536,,0,,,3053536.1994.5.3,-0.2
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,13.2,,M,M,1994-05-04 00:00:00,,,,16,4,,,,4.8,,0,,3053536,,0,,,3053536.1994.5.4,-6.5
-118.02972222222222,52.92638888888889,37,,1.6,,1994,5,AB,,JASPER WARDEN,,8.7,,M,M,1994-05-05 00:00:00,,,,16.5,5,,,,9.3,,20,,3053536,,0,,,3053536.1994.5.5,2.1
-118.02972222222222,52.92638888888889,33,,0,,1994,5,AB,,JASPER WARDEN,,6.6,,M,M,1994-05-06 00:00:00,,,,22.9,6,,,,11.4,,23,,3053536,,0,,,3053536.1994.5.6,-0.1
